gene,CNV
UVSSA,LOH
CRIPAK,LOH
NKX1-1,LOH
FAM53A,LOH
SLBP,LOH
TMEM129,LOH
TACC3,LOH
FGFR3,LOH
LETM1,LOH
C4orf48,LOH
NAT8L,LOH
POLN,LOH
ZFYVE28,LOH
CFAP99,LOH
RNF4,LOH
FAM193A,LOH
TNIP2,LOH
SH3BP2,LOH
ADD1,LOH
MFSD10,LOH
NOP14,LOH
GRK4,LOH
HTT,LOH
RGS12,LOH
HGFAC,LOH
DOK7,LOH
OTOP1,LOH
TMEM128,LOH
LYAR,LOH
ZBTB49,LOH
STX18,LOH
MSX1,LOH
CYTL1,LOH
STK32B,LOH
CRMP1,LOH
JAKMIP1,LOH
WFS1,LOH
PPP2R2C,LOH
MRFAP1,LOH
MRFAP1L1,LOH
BLOC1S4,LOH
KIAA0232,LOH
TBC1D14,LOH
TADA2B,LOH
AFAP1,LOH
ABLIM2,LOH
SH3TC1,LOH
HTRA3,LOH
ACOX3,LOH
TRMT44,LOH
HMX1,LOH
CPEB2-AS1,LOSS
CPEB2,LOSS
C1QTNF7,LOSS
CC2D2A,LOSS
FBXL5,LOSS
FAM200B,LOSS
BST1,LOSS
CD38,LOSS
FGFBP1,LOSS
TAPT1,LOSS
LDB2,LOSS
CLRN2,LOSS
LAP3,LOSS
FAM184B,LOSS
DCAF16,LOSS
NCAPG,LOSS
LCORL,LOSS
SLIT2,LOSS
KCNIP4,LOSS
ADGRA3,LOSS
GBA3,LOSS
PPARGC1A,LOSS
DHX15,LOSS
SEPSECS,LOH
PI4K2B,LOH
ZCCHC4,LOH
ANAPC4,LOH
SLC34A2,LOH
SEL1L3,LOH
SMIM20,LOH
RBPJ,LOH
CCKAR,LOH
TBC1D19,LOH
STIM2,LOH
PCDH7,LOH
ARAP2,LOH
LOC439933,LOH
DTHD1,LOH
DCUN1D4,GAIN
LRRC66,GAIN
SPATA18,GAIN
USP46,GAIN
DANCR,GAIN
RASL11B,GAIN
SCFD2,GAIN
FIP1L1,GAIN
PDGFRA,GAIN
KIT,GAIN
KDR,GAIN
TMEM165,GAIN
CLOCK,GAIN
CLOCK,GAIN
PDCL2,GAIN
NMU,GAIN
EXOC1,GAIN
CEP135,GAIN
KIAA1211,GAIN
AASDH,GAIN
PPAT,GAIN
PAICS,GAIN
THEGL,GAIN
HOPX,GAIN
SPINK2,GAIN
REST,GAIN
POLR2B,GAIN
IGFBP7,GAIN
EPHA5,GAIN
EPHA5-AS1,GAIN
UBA6,GAIN
TMPRSS11F,GAIN
YTHDC1,GAIN
TMPRSS11E,GAIN
PCDH18,LOH
SLC7A11,LOH
MGARP,LOH
NDUFC1,LOH
EMB,LOH
PARP8,LOH
ISL1,LOH
ITGA2,LOH
MOCS2,LOH
NDUFS4,LOH
HSPB3,LOH
SNX18,LOH
ESM1,LOH
GZMK,LOH
GZMA,LOH
CDC20B,LOH
MCIDAS,LOH
CCNO,LOH
DHX29,LOH
DDX4,LOH
IL31RA,LOH
IL6ST,LOH
FLJ31104,LOH
ANKRD55,LOH
C5orf67,LOH
MAP3K1,LOH
SETD9,LOH
MIER3,LOH
GPBP1,LOH
ACTBL2,LOH
PLK2,LOH
GAPT,LOH
PDE4D,LOH
DEPDC1B,LOH
ELOVL7,LOH
ERCC8,LOH
NDUFAF2,LOH
SMIM15,LOH
ZSWIM6,LOH
C5orf64,LOH
IPO11,LOH
HTR1A,LOH
RNF180,LOH
RGS7BP,LOH
SREK1IP1,LOH
CWC27,LOH
ADAMTS6,LOH
CENPK,LOH
PPWD1,LOH
TRAPPC13,LOH
SGTB,LOH
NLN,LOH
SREK1,LOH
MAST4,LOH
CD180,LOH
PIK3R1,LOH
SLC30A5,LOH
CCNB1,LOH
CENPH,LOH
MRPS36,LOH
CDK7,LOH
CCDC125,LOH
RAD17,LOH
MARVELD2,LOH
OCLN,LOH
SERF1A,LOSS
SMN2,LOSS
SMA4,LOSS
SMA4,LOH
GUSBP3,LOH
SERF1A,LOSS
SMN1,LOSS
NAIP,LOSS
NAIP,LOH
